MFCC_seg1_coef1,MFCC_seg1_coef2,MFCC_seg1_coef3,MFCC_seg2_coef1,MFCC_seg2_coef2,MFCC_seg2_coef3,MFCC_seg3_coef1,MFCC_seg3_coef2,MFCC_seg3_coef3,MFCC_seg4_coef1,MFCC_seg4_coef2,MFCC_seg4_coef3,MFCC_seg5_coef1,MFCC_seg5_coef2,MFCC_seg5_coef3,Formante_1,Formante_2,Formante_3,Etiqueta
-363.4166598573896,32.97010904279681,2.8078337912548235,-171.16089001328118,48.08919550082412,-27.499497898640488,-129.80597602255045,11.974595850377831,-42.90635232607575,-115.95538070885098,32.15109562542263,-54.9693543737274,-186.99288459486942,4.286738137742609,-35.658438420502804,492.89403835531675,2006.8067527577625,2844.9233430732743,berenjena
-261.88872926458896,90.21603886358977,-28.478661986809705,-158.5352142701052,80.28379874756615,-45.24387897507216,-171.29360888604674,76.16659340417486,-32.08668583123636,-150.65377378943907,65.68661094145287,-31.808292683839845,-95.61865500350527,49.021544294402865,-38.18494150772433,383.50244327912145,2025.185903401311,2550.9094942509882,berenjena
-325.5140966423179,69.5145352492413,-24.881786902981695,-207.24943518214758,85.63296303205546,-24.25428477649437,-82.72008488220472,45.38524729207215,-49.12348183606366,-117.26922418434856,54.324089572807075,-46.20882181537525,-146.5937018678219,71.72298592078904,-43.07332362598652,367.84141892143776,1956.808922693308,3071.9711626091444,berenjena
-313.5422068364604,93.06526235065095,-9.416811971211024,-170.87606331100108,83.79715239606227,-42.15377277983488,-111.37209087038097,78.4320477628347,-58.12598433199929,-121.18145113965048,61.681883556373535,-48.2532580161945,-95.9330381257889,37.611692338314526,-37.69629268981612,401.9954739479991,2009.4441906136246,3052.592369089517,berenjena
-413.8204470810624,-16.3320620914796,-41.82348923930685,-123.30840403389868,61.39572172099897,-78.99531023044783,-174.05366024106488,70.7393478901957,-37.45938218417965,-159.47763166441564,62.82209668444057,-40.03281458072439,-225.96670001414273,70.37949998847975,-5.316880066072745,739.1382251394882,1530.1216278170643,3049.7006053755294,camote
-205.0222324159814,63.73309258794008,-41.73718900020497,-143.1859950330589,101.55415424885685,-62.16116070564573,-143.79149599130983,107.64001383651933,-37.28921761887146,-148.1281688814182,108.46286679474701,-33.45545202028197,-116.47108536329094,60.37976480247774,-40.42345010850359,640.6291243851127,1450.6529947746278,2548.330706727095,camote
-279.90074886179224,74.34245533625968,-29.76934574866387,-125.36920420947104,96.10824204158487,-60.180751119202135,-160.247157028581,103.68351210460173,-23.253500424876798,-152.36453311997786,117.03596329929817,-15.39719616303484,-198.2689860972594,91.40793945023745,-27.652859960829925,509.58650068499855,1237.6713395488944,3060.8957089892215,camote
-306.3236958406334,77.29041555962674,-39.435604983682246,-119.99670514418753,93.27000049993197,-93.16307267114507,-215.202979429247,108.49171616135163,-37.91771130224488,-218.22364391859477,106.18523808765431,-25.854545012651528,-256.57299147966813,126.52844000329102,-25.776075570460012,697.2356112262223,1505.5668665985645,2669.243932809993,camote
-329.864507977872,64.4338692649867,-33.713702510646684,-108.05937919414161,82.81304786368177,-83.02477747783611,-184.77563597735383,98.35968195456881,-57.448490088102425,-185.62033431805872,97.13880758715214,-26.41437980887946,-273.29639838291274,110.45581959519086,-15.0924283428362,680.1554456721946,1693.6923467809527,2946.257146147211,camote
-261.78992545489655,88.83409056856274,-41.28661757770466,-93.89417854053329,78.01987549232379,-88.87085840004235,-155.03405916945812,105.21689157666567,-74.40173342804404,-195.42547537748152,108.18680156140326,-41.34531117102356,-250.5844976899309,120.0162021451777,-24.933263321835078,687.6548622599545,1662.1433452932174,2508.7729371775285,camote
-391.65505965684764,84.43932185309559,-39.70615668499904,-132.85144789374618,97.1811637128648,-63.62130537271311,-119.99822666684463,114.96802008671759,-66.15456346844582,-188.84827947137197,115.64033714827012,-15.69893970784102,-188.71707993625978,112.53021311953516,-12.73922280962501,763.816649162073,1610.309935503633,1825.374886558639,camote
